"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2018","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2019","962719",""
"Italy","2018","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2019","989119",""
"Italy","2018","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2019","982096",""
"Italy","2018","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2019","985319",""
"Italy","2018","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2019","4913444",""
"Italy","2018","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2019","993394",""
"Italy","2018","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2019","990840",""
"Italy","2018","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2019","1003021",""
"Italy","2018","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2019","940870",""
"Italy","2018","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2019","908662",""
"Italy","2018","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2019","4299302",""
"Italy","2018","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2019","889344",""
"Italy","2018","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2019","861010",""
"Italy","2018","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2019","839352",""
"Italy","2018","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2019","800934",""
"Italy","2018","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2019","791879",""
"Italy","2018","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2019","3777823",""
"Italy","2018","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2019","774202",""
"Italy","2018","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2019","758103",""
"Italy","2018","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2019","744865",""
"Italy","2018","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2019","708774",""
"Italy","2018","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2019","695794",""
"Italy","2018","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2019","3557141",""
"Italy","2018","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2019","691312",""
"Italy","2018","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2019","713943",""
"Italy","2018","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2019","714597",""
"Italy","2018","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2019","741495",""
"Italy","2018","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2019","720750",""
"Italy","2018","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2019","3099710",""
"Italy","2018","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2019","715352",""
"Italy","2018","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2019","548019",""
"Italy","2018","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2019","558409",""
"Italy","2018","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2019","557180",""
"Italy","2018","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2019","547177",""
"Italy","2018","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2019","2780512",""
"Italy","2018","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2019","542780",""
"Italy","2018","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2019","587178",""
"Italy","2018","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2019","566693",""
"Italy","2018","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2019","536684",""
"Italy","2018","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2019","482844",""
"Italy","2018","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2019","2108835",""
"Italy","2018","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2019","437804",""
"Italy","2018","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2019","429002",""
"Italy","2018","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2019","396129",""
"Italy","2018","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2019","363056",""
"Italy","2018","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2019","328265",""
"Italy","2018","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2019","1352274",""
"Italy","2018","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2019","302848",""
"Italy","2018","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2019","285128",""
"Italy","2018","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2019","233948",""
"Italy","2018","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2019","202085",""
"Italy","2018","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2019","171955",""
"Italy","2018","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2019","589247",""
"Italy","2018","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2019","140841",""
"Italy","2018","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2019","114132",""
"Italy","2018","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2019","90713",""
"Italy","2018","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2019","71606",""
"Italy","2018","Total","Both Sexes","95","Estimate - de jure","Final figure, complete","2019","53348",""
"Italy","2018","Total","Both Sexes","95 - 99","Estimate - de jure","Final figure, complete","2019","140997",""
"Italy","2018","Total","Both Sexes","96","Estimate - de jure","Final figure, complete","2019","39627",""
"Italy","2018","Total","Both Sexes","97","Estimate - de jure","Final figure, complete","2019","27958",""
"Italy","2018","Total","Both Sexes","98","Estimate - de jure","Final figure, complete","2019","13133",""
"Italy","2018","Total","Both Sexes","99","Estimate - de jure","Final figure, complete","2019","6931",""
"Italy","2018","Total","Both Sexes","100","Estimate - de jure","Final figure, complete","2019","5001",""
"Italy","2018","Total","Both Sexes","100 - 104","Estimate - de jure","Final figure, complete","2019","14585",""
"Italy","2018","Total","Both Sexes","101","Estimate - de jure","Final figure, complete","2019","3785",""
"Italy","2018","Total","Both Sexes","102","Estimate - de jure","Final figure, complete","2019","2975",""
"Italy","2018","Total","Both Sexes","103","Estimate - de jure","Final figure, complete","2019","1916",""
"Italy","2018","Total","Both Sexes","104","Estimate - de jure","Final figure, complete","2019","908",""
"Italy","2018","Total","Both Sexes","105","Estimate - de jure","Final figure, complete","2019","541",""
"Italy","2018","Total","Both Sexes","105 - 109","Estimate - de jure","Final figure, complete","2019","1045",""
