COD_MUN;NOME_MUN;QTDE_Hospit
350010;Adamantina;45
350050;Águas de Lindóia;22
350070;Agudos;22
350100;Altinópolis;9
350110;Alto Alegre;12
350130;Álvares Machado;14
350160;Americana;108
350170;Américo Brasiliense;72
350190;Amparo;50
350210;Andradina;69
350220;Angatuba;27
350250;Aparecida;24
350260;Aparecida d'Oeste;14
350270;Apiaí;16
350280;Araçatuba;113
350290;Araçoiaba da Serra;3
350310;Arandu;5
350320;Araraquara;204
350330;Araras;98
350340;Arealva;26
350380;Artur Nogueira;18
350390;Arujá;26
350400;Assis;91
350410;Atibaia;77
350420;Auriflama;22
350450;Avaré;68
350490;Bananal;7
350520;Bariri;21
350530;Barra Bonita;35
350550;Barretos;205
350570;Barueri;155
350580;Bastos;16
350590;Batatais;46
350600;Bauru;515
350610;Bebedouro;64
350630;Bernardino de Campos;17
350635;Bertioga;15
350640;Bilac;20
350650;Birigui;61
350670;Boa Esperança do Sul;6
350680;Bocaina;20
350700;Boituva;15
350710;Bom Jesus dos Perdões;8
350740;Borborema;11
350750;Botucatu;238
350760;Bragança Paulista;130
350790;Brotas;19
350810;Buritama;17
350840;Cabreúva;6
350850;Caçapava;115
350860;Cachoeira Paulista;16
350870;Caconde;14
350880;Cafelândia;23
350900;Caieiras;48
350920;Cajamar;24
350930;Cajobi;16
350940;Cajuru;38
350950;Campinas;1141
350960;Campo Limpo Paulista;16
350970;Campos do Jordão;28
351000;Cândido Mota;9
351020;Capão Bonito;14
351030;Capela do Alto;59
351040;Capivari;29
351050;Caraguatatuba;71
351060;Carapicuíba;78
351070;Cardoso;13
351080;Casa Branca;24
351100;Castilho;13
351110;Catanduva;219
351130;Cedral;30
351140;Cerqueira César;25
351150;Cerquilho;13
351160;Cesário Lange;14
351170;Charqueada;17
355720;Chavantes;38
351190;Clementina;12
351200;Colina;19
351210;Colômbia;6
351220;Conchal;19
351230;Conchas;10
351260;Coronel Macedo;6
351280;Cosmópolis;20
351300;Cotia;372
351310;Cravinhos;11
351340;Cruzeiro;48
351350;Cubatão;47
351360;Cunha;21
351370;Descalvado;18
351380;Diadema;287
351390;Divinolândia;25
351410;Dois Córregos;29
351430;Dourado;6
351440;Dracena;78
351450;Duartina;42
351480;Eldorado;2
351490;Elias Fausto;6
351500;Embu das Artes;65
351510;Embu-Guaçu;12
351518;Espírito Santo do Pinhal;53
351520;Estrela d'Oeste;43
351540;Fartura;8
351550;Fernandópolis;71
351570;Ferraz de Vasconcelos;62
351600;Flórida Paulista;25
351620;Franca;234
351630;Francisco Morato;15
351640;Franco da Rocha;70
351660;Gália;24
351670;Garça;27
351690;General Salgado;26
351700;Getulina;38
351740;Guaíra;24
351760;Guapiara;12
351770;Guará;24
351780;Guaraçaí;19
351820;Guararapes;39
351830;Guararema;22
351840;Guaratinguetá;148
351860;Guariba;15
351870;Guarujá;170
351880;Guarulhos;521
351900;Herculândia;49
351907;Hortolândia;29
351910;Iacanga;15
351930;Ibaté;10
351940;Ibirá;15
351960;Ibitinga;38
351970;Ibiúna;17
351990;Iepê;10
352010;Igarapava;36
352020;Igaratá;8
352030;Iguape;9
352044;Ilha Solteira;43
352040;Ilhabela;16
352050;Indaiatuba;58
