COD_MUN;NOME_MUN;QTDE_Hospit
352070;Indiaporã;24
352090;Ipaussu;23
352100;Iperó;13
352130;Ipuã;35
352140;Iracemápolis;2
352170;Itaberá;6
352180;Itaí;18
352190;Itajobi;46
352210;Itanhaém;35
352220;Itapecerica da Serra;106
352230;Itapetininga;61
352240;Itapeva;58
352250;Itapevi;101
352260;Itapira;42
352270;Itápolis;44
352280;Itaporanga;25
352290;Itapuí;16
352310;Itaquaquecetuba;54
352320;Itararé;33
352340;Itatiba;43
352350;Itatinga;12
352360;Itirapina;8
352390;Itu;52
352400;Itupeva;21
352410;Ituverava;50
352420;Jaborandi;8
352430;Jaboticabal;49
352440;Jacareí;170
352450;Jaci;20
352470;Jaguariúna;27
352480;Jales;95
352500;Jandira;4
352520;Jarinu;18
352530;Jaú;325
352550;Joanópolis;9
352570;José Bonifácio;19
352590;Jundiaí;302
352600;Junqueirópolis;22
352620;Juquitiba;53
352640;Laranjal Paulista;22
352670;Leme;41
352680;Lençóis Paulista;39
352690;Limeira;114
352710;Lins;55
352720;Lorena;86
352730;Louveira;12
352740;Lucélia;15
352770;Luiziânia;3
352800;Macatuba;18
352810;Macaubal;16
352850;Mairiporã;19
352880;Maracaí;14
352900;Marília;278
352920;Martinópolis;18
352930;Matão;89
352940;Mauá;163
352970;Miguelópolis;11
352980;Mineiros do Tietê;7
353010;Mirandópolis;31
353030;Mirassol;35
353050;Mococa;73
353060;Mogi das Cruzes;262
353070;Mogi Guaçu;136
353080;Mogi Mirim;50
353110;Mongaguá;12
353130;Monte Alto;45
353140;Monte Aprazível;49
353150;Monte Azul Paulista;32
353180;Monte Mor;5
353190;Morro Agudo;17
353200;Morungaba;13
353240;Nazaré Paulista;11
353250;Neves Paulista;21
353260;Nhandeara;35
353290;Nova Europa;6
353300;Nova Granada;52
353340;Nova Odessa;17
353350;Novo Horizonte;46
353390;Olímpia;31
353430;Orlândia;36
353440;Osasco;395
353460;Osvaldo Cruz;39
353470;Ourinhos;54
353475;Ouroeste;16
353490;Pacaembu;17
353520;Palmeira d'Oeste;11
353530;Palmital;24
353540;Panorama;19
353550;Paraguaçu Paulista;34
353580;Paranapanema;16
353600;Parapuã;25
353620;Pariquera-Açu;35
353630;Patrocínio Paulista;16
353650;Paulínia;32
353660;Paulo de Faria;11
353670;Pederneiras;38
353700;Pedregulho;43
353710;Pedreira;46
353730;Penápolis;80
353740;Pereira Barreto;22
353780;Piedade;27
353790;Pilar do Sul;19
353800;Pindamonhangaba;100
353860;Piracaia;15
353870;Piracicaba;306
353880;Piraju;35
353890;Pirajuí;14
353900;Pirangi;11
353930;Pirassununga;38
353940;Piratininga;24
353950;Pitangueiras;20
353980;Poá;27
354000;Pompéia;9
354020;Pontal;10
354040;Populina;14
354060;Porto Feliz;20
354070;Porto Ferreira;22
354080;Potirendaba;19
354100;Praia Grande;81
354120;Presidente Bernardes;36
354130;Presidente Epitácio;36
354140;Presidente Prudente;414
354150;Presidente Venceslau;39
354160;Promissão;14
354190;Queluz;16
354220;Rancharia;38
354240;Regente Feijó;7
354260;Registro;70
354290;Ribeirão Bonito;8
354300;Ribeirão Branco;16
354330;Ribeirão Pires;76
354340;Ribeirão Preto;789
354380;Rinópolis;15
354390;Rio Claro;90
354400;Rio das Pedras;17
354420;Riolândia;17
354425;Rosana;24
354430;Roseira;49
354490;Sales Oliveira;16
354500;Salesópolis;13
354520;Salto;45
354530;Salto de Pirapora;20
354540;Salto Grande;20
354560;Santa Adélia;13
354580;Santa Bárbara d'Oeste;109
354630;Santa Cruz das Palmeiras;14
354640;Santa Cruz do Rio Pardo;31
354660;Santa Fé do Sul;30
354680;Santa Isabel;30
354690;Santa Lúcia;8
354700;Santa Maria da Serra;6
354750;Santa Rita do Passa Quatro;26
354760;Santa Rosa de Viterbo;20
354730;Santana de Parnaíba;14
354770;Santo Anastácio;28
354780;Santo André;723
354790;Santo Antônio da Alegria;13
354850;Santos;735
354860;São Bento do Sapucaí;18
354870;São Bernardo do Campo;550
354880;São Caetano do Sul;442
354890;São Carlos;196
354910;São João da Boa Vista;106
354940;São Joaquim da Barra;46
354970;São José do Rio Pardo;57
354980;São José do Rio Preto;552
354990;São José dos Campos;520
355000;São Luís do Paraitinga;16
355010;São Manuel;14
355020;São Miguel Arcanjo;35
355030;São Paulo;10778
355040;São Pedro;14
355060;São Roque;38
355070;São Sebastião;53
355080;São Sebastião da Grama;22
355090;São Simão;11
355100;São Vicente;149
355160;Serra Negra;19
355150;Serrana;64
355170;Sertãozinho;34
355200;Silveiras;1
355210;Socorro;32
355220;Sorocaba;502
355230;Sud Mennucci;9
355240;Sumaré;45
355250;Suzano;51
355260;Tabapuã;17
355270;Tabatinga;16
355280;Taboão da Serra;160
355300;Taguaí;12
355320;Taiúva;4
355330;Tambaú;16
355340;Tanabi;39
355360;Tapiratiba;9
355370;Taquaritinga;70
355380;Taquarituba;20
355400;Tatuí;32
355410;Taubaté;154
355430;Teodoro Sampaio;35
355440;Terra Roxa;20
355450;Tietê;22
355470;Torrinha;12
355500;Tupã;94
355510;Tupi Paulista;26
355540;Ubatuba;28
355580;Urânia;26
355600;Urupês;25
355620;Valinhos;68
355630;Valparaíso;25
355640;Vargem Grande do Sul;26
355650;Várzea Paulista;31
355670;Vinhedo;38
355680;Viradouro;24
355700;Votorantim;143
355710;Votuporanga;83
; ;
