date;country;state;city;ibgeID;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;X_source;is_last;day1_death;day_10death;day_5death;day1_case;day_100cases;day_10cases;day_25cases;day_50cases;day_75cases;tem_rodo;tem_rodo_1;tem_rodo_2
14/04/2020;Brazil;SP;Adamantina/SP;3500105;0;0;1;1;0;2,8516;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;0
14/04/2020;Brazil;SP;Agudos/SP;3500709;0;1;0;2;2,68716;5,37432;0,5;SES;TRUE;18366;0;0;18366;0;0;0;0;0;0;0;0
14/04/2020;Brazil;SP;Americana/SP;3501608;0;2;0;4;0,83473;1,66947;0,5;SES;TRUE;18366;0;0;18366;0;0;0;0;0;0;0;1
14/04/2020;Brazil;SP;Amparo/SP;3501905;0;0;1;2;0;2,77027;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;0
14/04/2020;Brazil;SP;Américo Brasiliense/SP;3501707;0;0;1;2;0;4,93778;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;0
14/04/2020;Brazil;SP;Araraquara/SP;3503208;1;2;1;11;0,8472;4,6596;0,18182;SES;TRUE;18366;0;0;18366;0;0;0;0;0;0;1;0
14/04/2020;Brazil;SP;Araras/SP;3503307;0;0;0;3;0;2,23487;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;1
14/04/2020;Brazil;SP;Araçariguama/SP;3502754;0;0;0;1;0;4,47147;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;1
14/04/2020;Brazil;SP;Araçatuba/SP;3502804;0;0;1;15;0;7,61359;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;0
14/04/2020;Brazil;SP;Araçoiaba da Serra/SP;3502903;0;0;0;1;0;2,9286;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;1
14/04/2020;Brazil;SP;Artur Nogueira/SP;3503802;0;0;0;1;0;1,83797;0;SES;TRUE;0;0;0;18366;0;0;0;0;0;0;0;0
