"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Republic of Korea","2018","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","51606633",""
"Republic of Korea","2018","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","345555",""
"Republic of Korea","2018","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","2032012",""
"Republic of Korea","2018","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2019","383299",""
"Republic of Korea","2018","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2019","1686457",""
"Republic of Korea","2018","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2019","428164",""
"Republic of Korea","2018","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2019","441520",""
"Republic of Korea","2018","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2019","433474",""
"Republic of Korea","2018","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2019","460501",""
"Republic of Korea","2018","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","2289635",""
"Republic of Korea","2018","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2019","468405",""
"Republic of Korea","2018","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2019","475894",""
"Republic of Korea","2018","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2019","439256",""
"Republic of Korea","2018","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2019","445579",""
"Republic of Korea","2018","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2019","477986",""
"Republic of Korea","2018","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","2267741",""
"Republic of Korea","2018","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2019","449543",""
"Republic of Korea","2018","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2019","430230",""
"Republic of Korea","2018","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2019","438586",""
"Republic of Korea","2018","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2019","471396",""
"Republic of Korea","2018","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2019","474003",""
"Republic of Korea","2018","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","2817245",""
"Republic of Korea","2018","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2019","508495",""
"Republic of Korea","2018","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2019","591473",""
"Republic of Korea","2018","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2019","621090",""
"Republic of Korea","2018","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2019","622184",""
"Republic of Korea","2018","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2019","663116",""
"Republic of Korea","2018","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","3496564",""
"Republic of Korea","2018","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2019","683065",""
"Republic of Korea","2018","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2019","710439",""
