date;country;state;city;ibgeID;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;X_source;is_last;day1_death;day_10death;day_5death;day1_case;day_100cases;day_10cases;day_25cases;day_50cases;day_75cases;tem_rodo;tem_rodo_1;tem_rodo_2
12/06/2020;Brazil;SP;Adamantina/SP;3500105;0;3;1;44;8,55481;125,47051;0,06818;SES;TRUE;18398;0;0;18355;0;35;43;0;0;0;0;0
12/06/2020;Brazil;SP;Adolfo/SP;3500204;0;0;0;3;0;84,22235;0;SES;TRUE;0;0;0;18382;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Aguaí/SP;3500303;0;4;0;49;11,01777;134,96764;0,08163;SES;TRUE;18382;0;0;18375;0;5;38;0;0;0;0;0
12/06/2020;Brazil;SP;Águas da Prata/SP;3500402;0;0;0;1;0;12,22494;0;SES;TRUE;0;0;0;18381;0;0;0;0;0;0;1;0
12/06/2020;Brazil;SP;Águas de Lindóia/SP;3500501;0;1;0;23;5,34616;122,96177;0,04348;SES;TRUE;18360;0;0;18354;0;49;0;0;0;0;1;0
12/06/2020;Brazil;SP;Águas de Santa Bárbara/SP;3500550;0;0;0;3;0;49,38272;0;SES;TRUE;0;0;0;18390;0;0;0;0;0;0;0;1
12/06/2020;Brazil;SP;Águas de São Pedro/SP;3500600;0;0;0;3;0;86,93132;0;SES;TRUE;0;0;0;18362;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Agudos/SP;3500709;0;1;0;44;2,68716;118,23507;0,02273;SES;TRUE;18360;0;0;18354;0;23;61;0;0;0;0;0
12/06/2020;Brazil;SP;Alambari/SP;3500758;0;0;0;5;0;82,98755;0;SES;TRUE;0;0;0;18368;0;0;0;0;0;0;0;1
12/06/2020;Brazil;SP;Alfredo Marcondes/SP;3500808;0;2;0;3;48,00768;72,01152;0,66667;SES;TRUE;18404;0;0;18401;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Altair/SP;3500907;0;0;0;1;0;24,03846;0;SES;TRUE;0;0;0;18398;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Altinópolis/SP;3501004;0;0;0;6;0;37,07365;0;SES;TRUE;0;0;0;18395;0;0;0;0;0;0;1;0
12/06/2020;Brazil;SP;Alto Alegre/SP;3501103;0;1;0;1;24,39619;24,39619;1;SES;TRUE;18394;0;0;18391;0;0;0;0;0;0;1;0
12/06/2020;Brazil;SP;Alumínio/SP;3501152;0;1;0;15;5,36826;80,52394;0,06667;SES;TRUE;18397;0;0;18394;0;10;0;0;0;0;0;1
12/06/2020;Brazil;SP;Álvares Florence/SP;3501202;0;0;0;1;0;27,1813;0;SES;TRUE;0;0;0;18411;0;0;0;0;0;1;0;0
12/06/2020;Brazil;SP;Álvares Machado/SP;3501301;0;1;0;17;4,01365;68,23199;0,05882;SES;TRUE;18405;0;0;18380;0;30;0;0;0;0;0;1
12/06/2020;Brazil;SP;Álvaro de Carvalho/SP;3501400;0;2;0;2;38,26287;38,26287;1;SES;TRUE;18404;0;0;18390;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Alvinlândia/SP;3501509;0;0;0;1;0;31,03662;0;SES;TRUE;0;0;0;18415;0;0;0;0;0;0;0;1
12/06/2020;Brazil;SP;Americana/SP;3501608;0;12;3;210;5,00841;87,64717;0,05714;SES;TRUE;18356;68;54;18352;58;15;18;29;50;0;0;1
12/06/2020;Brazil;SP;Américo Brasiliense/SP;3501707;0;2;4;69;4,93778;170,35355;0,02899;SES;TRUE;18408;0;0;18363;0;26;41;56;0;0;0;0
12/06/2020;Brazil;SP;Américo de Campos/SP;3501806;0;0;1;8;0;134,0258;0;SES;TRUE;0;0;0;18389;0;0;0;0;0;0;0;0
12/06/2020;Brazil;SP;Amparo/SP;3501905;0;5;0;87;6,92569;120,50696;0,05747;SES;TRUE;18387;0;36;18363;0;19;46;54;56;0;0;0
