"";"date";"country";"state";"city";"ibgeID";"newDeaths";"deaths";"newCases";"totalCases";"deaths_per_100k_inhabitants";"totalCases_per_100k_inhabitants";"deaths_by_totalCases";"X_source";"is_last";"day1_death";"day_10death";"day_5death";"day1_case";"day_100cases";"day_10cases";"day_25cases";"day_50cases";"day_75cases"
"39";2020-06-04;"Brazil";"CE";"Cariús/CE";2303303;0;2;0;7;10,69576;37,43516;0,28571;"SES";TRUE;18357;0;0;18359;0;0;0;0;0
"40";2020-06-04;"Brazil";"CE";"Carnaubal/CE";2303402;0;0;0;29;0;164,71657;0;"SES";TRUE;0;0;0;18375;0;27;37;0;0
"41";2020-06-04;"Brazil";"CE";"Cascavel/CE";2303501;0;23;0;362;32,05888;504,57884;0,06354;"SES";TRUE;18368;39;19;18359;39;16;27;27;35
"42";2020-06-04;"Brazil";"CE";"Catarina/CE";2303600;0;1;0;17;4,83138;82,13354;0,05882;"SES";TRUE;18405;0;0;18358;0;43;0;0;0
"43";2020-06-04;"Brazil";"CE";"Catunda/CE";2303659;0;0;0;17;0;164,37826;0;"SES";TRUE;0;0;0;18389;0;23;0;0;0
"44";2020-06-04;"Brazil";"CE";"Caucaia/CE";2303709;0;123;0;2072;34,03431;573,32595;0,05936;"SES";TRUE;18360;18;9;18349;24;9;14;19;21
"45";2020-06-04;"Brazil";"CE";"Cedro/CE";2303808;0;2;0;11;7,82564;43,04105;0,18182;"SES";TRUE;18409;0;0;18386;0;28;0;0;0
"46";2020-06-04;"Brazil";"CE";"Chaval/CE";2303907;0;3;0;87;22,95508;665,69745;0,03448;"SES";TRUE;18397;0;0;18386;0;26;26;26;29
"47";2020-06-04;"Brazil";"CE";"Chorozinho/CE";2303956;0;4;0;108;19,73944;532,96486;0,03704;"SES";TRUE;18384;0;0;18369;47;17;22;31;43
"48";2020-06-04;"Brazil";"CE";"Choró/CE";2303931;0;2;0;109;14,79181;806,15339;0,01835;"SES";TRUE;18403;0;0;18377;38;16;24;35;35
"49";2020-06-04;"Brazil";"CE";"Coreaú/CE";2304004;0;3;0;189;12,9668;816,90871;0,01587;"SES";TRUE;18406;0;0;18370;30;6;17;20;20
"50";2020-06-04;"Brazil";"CE";"Crateús/CE";2304103;0;8;0;211;10,65615;281,05602;0,03791;"SES";TRUE;18378;0;23;18358;54;18;31;39;44
"51";2020-06-04;"Brazil";"CE";"Crato/CE";2304202;0;0;0;65;0;49,19658;0;"SES";TRUE;0;0;0;18362;0;24;38;50;0
"52";2020-06-04;"Brazil";"CE";"Croatá/CE";2304236;0;0;0;10;0;55,36179;0;"SES";TRUE;0;0;0;18358;0;58;0;0;0
"53";2020-06-04;"Brazil";"CE";"Cruz/CE";2304251;0;5;0;237;20,13936;954,60587;0,0211;"SES";TRUE;18403;0;8;18381;23;8;15;18;20
"54";2020-06-04;"Brazil";"CE";"Deputado Irapuan Pinheiro/CE";2304269;0;0;0;4;0;41,55844;0;"SES";TRUE;0;0;0;18377;0;0;0;0;0
"55";2020-06-04;"Brazil";"CE";"Ererê/CE";2304277;0;3;0;27;41,67824;375,1042;0,11111;"SES";TRUE;18398;0;0;18375;0;22;32;0;0
