shape_CD_GEOCODM	date	country	state	city	ibgeID	newDeaths	deaths	newCases	totalCases	deaths_per_100k_inhabitants	totalCases_per_100k_inhabitants	deaths_by_totalCases	X_source	is_last	day1_death	day_10death	day_5death	day1_case	day_100cases	day_10cases	day_25cases	day_50cases	day_75cases	tem_rodo	tem_rodo_1	tem_rodo_2	MapaCD_GEOCODM	MapaTematico	Cluster_Espacial	Label_Cluster_Espacial	ID da observação dos clusters	Cluster 30	Cluster 29	Cluster 28	Cluster 27	Cluster 26	Cluster 25	Cluster 24	Cluster 23	Cluster 22	Cluster 21	Cluster 20	Cluster 19	Cluster 18	
3555109	12/06/2020	Brazil	SP	Tupi Paulista/SP	3555109	0	0	0	43	0	277,50887	0	SES	TRUE	0	0	0	18380	0	8	15	0	0	0	1	0	617	0	15	Conglomerado 15	3555109	202	202	202	202	202	202	202	202	202	202	202	202	202	
3555208	0	0	0	0	3555208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	618	12	1	Conglomerado 1	3555208	1	1	1	1	1	1	1	1	1	1	1	1	1	
3555307	12/06/2020	Brazil	SP	Turmalina/SP	3555307	0	0	1	2	0	115,80776	0	SES	TRUE	0	0	0	18416	0	0	0	0	0	0	0	0	619	0	1	Conglomerado 1	3555307	1	1	1	1	1	1	1	1	1	1	1	1	1	
3555356	12/06/2020	Brazil	SP	Ubarana/SP	3555356	0	0	0	1	0	15,85037	0	SES	TRUE	0	0	0	18424	0	0	0	0	0	0	1	0	620	0	1	Conglomerado 1	3555356	1	1	1	1	1	1	1	1	1	1	1	1	1	
3555406	12/06/2020	Brazil	SP	Ubatuba/SP	3555406	0	5	3	87	5,50667	95,81603	0,05747	SES	TRUE	18397	0	25	18365	0	14	25	44	57	0	1	0	621	0	2	Conglomerado 2	3555406	2	2	2	2	2	2	2	2	2	2	2	2	2	
3555505	12/06/2020	Brazil	SP	Ubirajara/SP	3555505	0	1	0	12	20,9205	251,04603	0,08333	SES	TRUE	18409	0	0	18390	0	20	0	0	0	0	0	1	622	0	2	Conglomerado 2	3555505	2	2	2	2	2	2	2	2	2	2	2	2	2	
3555604	12/06/2020	Brazil	SP	Uchoa/SP	3555604	0	2	2	24	19,78239	237,38872	0,08333	SES	TRUE	18389	0	0	18387	0	28	0	0	0	1	0	0	623	0	11	Conglomerado 11	3555604	52	52	52	52	52	52	52	52	52	52	52	52	52	
3555703	12/06/2020	Brazil	SP	Uni�o Paulista/SP	3555703	0	0	1	3	0	162,6898	0	SES	TRUE	0	0	0	18389	0	0	0	0	0	0	0	0	624	0	1	Conglomerado 1	3555703	1	1	1	1	1	1	1	1	1	1	1	1	1	
3555802	12/06/2020	Brazil	SP	Ur�nia/SP	3555802	0	2	3	37	21,94426	405,96884	0,05405	SES	TRUE	18419	0	0	18406	0	6	14	0	0	0	0	0	625	0	1	Conglomerado 1	3555802	1	1	1	1	1	1	1	1	1	1	1	1	1	
3555901	12/06/2020	Brazil	SP	Uru/SP	3555901	0	1	0	3	85,83691	257,51073	0,33333	SES	TRUE	18394	0	0	18388	0	0	0	0	0	0	0	0	626	0	6	Conglomerado 6	3555901	16	16	16	16	16	16	16	16	16	16	16	16	16	
